dataset,algorithm,decision_point,operator,n_trials,dominance_pct
hospital_billing,REPTree,p_12,prune,30,0.0
hospital_billing,REPTree,p_12,regrow_internal,29,0.0
hospital_billing,REPTree,p_12,regrow_leaf,30,0.0
hospital_billing,REPTree,p_16,change_label,30,0.0
hospital_billing,REPTree,p_16,regrow_leaf,30,0.0
hospital_billing,REPTree,p_21,branch_swap,30,0.0
hospital_billing,REPTree,p_21,change_feature,30,0.0
hospital_billing,REPTree,p_21,change_label,30,0.0
hospital_billing,REPTree,p_21,change_threshold,30,0.0
hospital_billing,REPTree,p_21,prune,30,0.0
hospital_billing,REPTree,p_21,regrow_internal,30,0.0
hospital_billing,REPTree,p_21,regrow_leaf,30,0.0
hospital_billing,REPTree,p_22,branch_swap,30,0.0
hospital_billing,REPTree,p_22,change_feature,30,3.3333333333333335
hospital_billing,REPTree,p_22,change_label,30,0.0
hospital_billing,REPTree,p_22,change_threshold,30,0.0
hospital_billing,REPTree,p_22,prune,30,0.0
hospital_billing,REPTree,p_22,regrow_internal,30,3.3333333333333335
hospital_billing,REPTree,p_22,regrow_leaf,30,0.0
hospital_billing,REPTree,p_23,branch_swap,30,0.0
hospital_billing,REPTree,p_23,change_feature,30,0.0
hospital_billing,REPTree,p_23,change_label,30,0.0
hospital_billing,REPTree,p_23,change_threshold,30,0.0
hospital_billing,REPTree,p_23,prune,30,0.0
hospital_billing,REPTree,p_23,regrow_internal,30,0.0
hospital_billing,REPTree,p_23,regrow_leaf,30,0.0
hospital_billing,REPTree,p_24,branch_swap,30,0.0
hospital_billing,REPTree,p_24,change_feature,30,0.0
hospital_billing,REPTree,p_24,change_label,60,0.0
hospital_billing,REPTree,p_24,change_threshold,30,0.0
hospital_billing,REPTree,p_24,prune,30,0.0
hospital_billing,REPTree,p_24,regrow_internal,30,0.0
hospital_billing,REPTree,p_24,regrow_leaf,60,0.0
hospital_billing,REPTree,p_28,branch_swap,30,0.0
hospital_billing,REPTree,p_28,change_feature,30,0.0
hospital_billing,REPTree,p_28,change_label,30,0.0
hospital_billing,REPTree,p_28,prune,30,0.0
hospital_billing,REPTree,p_28,regrow_internal,30,0.0
hospital_billing,REPTree,p_28,regrow_leaf,30,0.0
hospital_billing,REPTree,p_29,branch_swap,30,0.0
hospital_billing,REPTree,p_29,change_feature,30,0.0
hospital_billing,REPTree,p_29,change_label,30,0.0
hospital_billing,REPTree,p_29,change_threshold,30,0.0
hospital_billing,REPTree,p_29,prune,30,0.0
hospital_billing,REPTree,p_29,regrow_internal,30,0.0
hospital_billing,REPTree,p_29,regrow_leaf,30,0.0
hospital_billing,REPTree,p_31,branch_swap,30,0.0
hospital_billing,REPTree,p_31,change_feature,30,0.0
hospital_billing,REPTree,p_31,change_label,60,0.0
hospital_billing,REPTree,p_31,prune,30,0.0
hospital_billing,REPTree,p_31,regrow_internal,30,0.0
hospital_billing,REPTree,p_31,regrow_leaf,60,0.0
hospital_billing,REPTree,p_33,branch_swap,30,0.0
hospital_billing,REPTree,p_33,change_feature,30,0.0
hospital_billing,REPTree,p_33,change_label,30,0.0
hospital_billing,REPTree,p_33,change_threshold,30,0.0
hospital_billing,REPTree,p_33,prune,30,0.0
hospital_billing,REPTree,p_33,regrow_internal,30,0.0
hospital_billing,REPTree,p_33,regrow_leaf,30,0.0
hospital_billing,REPTree,p_35,change_label,30,0.0
hospital_billing,REPTree,p_35,prune,30,0.0
hospital_billing,REPTree,p_35,regrow_internal,30,0.0
hospital_billing,REPTree,p_35,regrow_leaf,30,0.0
hospital_billing,REPTree,p_38,change_label,30,0.0
hospital_billing,REPTree,p_38,regrow_leaf,30,0.0
hospital_billing,REPTree,p_4,branch_swap,30,0.0
hospital_billing,REPTree,p_4,change_feature,30,0.0
hospital_billing,REPTree,p_4,change_label,30,0.0
hospital_billing,REPTree,p_4,change_threshold,30,0.0
hospital_billing,REPTree,p_4,prune,30,0.0
hospital_billing,REPTree,p_4,regrow_internal,30,0.0
hospital_billing,REPTree,p_4,regrow_leaf,30,0.0
hospital_billing,REPTree,p_6,branch_swap,30,0.0
hospital_billing,REPTree,p_6,change_feature,30,0.0
hospital_billing,REPTree,p_6,change_label,30,0.0
hospital_billing,REPTree,p_6,prune,30,0.0
hospital_billing,REPTree,p_6,regrow_internal,29,3.4482758620689653
hospital_billing,REPTree,p_6,regrow_leaf,30,0.0
hospital_billing,REPTree,p_8,change_label,30,0.0
hospital_billing,REPTree,p_8,regrow_leaf,30,0.0
